Organization Link,Organization,Location,Location Ref,Account Style Link,Account Style Caption,Account Subtype,Account Number,Account Reference,Account Supplier,Account Reader,Record Start YYYY-MM-DD,Record End YYYY-MM-DD,Record Data Quality,Record Billing Type,Record Subtype,Record Entry Method,Record Reference,Record Invoice Number,Total Electricity (kWh),Green Power (kWh),Total Cost
17000252,GSI Demos,IN Bank-ODC-IBMCloud,,14445,S2 - Electricity - kWh,Default,IN Bank-ODC-IBMCloud-electricity,,,,2025-01-01,2025-02-28,Actual,Standard,Default,Overwrite,,,37.3063,,
17000252,GSI Demos,IN Bank-ODC-vc01dc01,,14445,S2 - Electricity - kWh,Default,IN Bank-ODC-vc01dc01-electricity,,,,2025-01-01,2025-02-28,Actual,Standard,Default,Overwrite,,,21.4955,,
